Dato/klokkeslett,NO1,NO2,NO3,NO4,NO5
2023-07-04 Kl. 03-04,0.79970,0.91298,0.28979,0.23183,0.79970
2023-07-04 Kl. 04-05,0.79662,1.01426,0.31716,0.25373,0.79662
2023-07-04 Kl. 05-06,0.80424,1.15653,0.36443,0.27726,0.80424
2023-07-04 Kl. 06-07,0.87800,1.19150,0.38975,0.27867,0.87800
2023-07-04 Kl. 07-08,0.95030,1.22838,0.40088,0.28101,0.95030
2023-07-04 Kl. 08-09,0.95001,1.17760,0.41990,0.28721,0.95001
2023-07-04 Kl. 09-10,0.90728,1.13325,0.42268,0.29225,0.90728
2023-07-04 Kl. 10-11,0.76048,0.76048,0.42385,0.29225,0.76048
2023-07-04 Kl. 11-12,0.34496,0.34496,0.34496,0.27597,0.34496
2023-07-04 Kl. 12-13,0.35404,0.35404,0.35404,0.28323,0.35404
2023-07-04 Kl. 13-14,0.34921,0.34921,0.34921,0.27937,0.34921
2023-07-04 Kl. 14-15,0.34775,0.34775,0.34775,0.27820,0.34775
2023-07-04 Kl. 15-16,0.69110,0.69110,0.48064,0.28335,0.69110
2023-07-04 Kl. 16-17,0.74994,1.14056,0.47391,0.28347,0.74994
2023-07-04 Kl. 17-18,0.78683,1.24521,0.46951,0.28253,0.78683
2023-07-04 Kl. 18-19,0.80585,1.30829,0.46966,0.27433,0.80585
2023-07-04 Kl. 19-20,0.92205,1.27229,0.47025,0.27422,0.92205
2023-07-04 Kl. 20-21,0.92556,1.36098,0.46951,0.27433,0.92556
2023-07-04 Kl. 21-22,0.91766,1.41586,0.46439,0.27410,0.91766
2023-07-04 Kl. 22-23,0.91751,1.44894,0.46133,0.27363,0.91751
2023-07-04 Kl. 23-00,0.89630,1.49651,0.45297,0.27281,0.89630
2023-07-05 Kl. 00-01,0.79669,1.46799,0.50663,0.28006,0.79669
2023-07-05 Kl. 01-02,0.78249,1.45219,0.50112,0.28099,0.78249
2023-07-05 Kl. 02-03,0.75204,1.33100,0.44545,0.28041,0.75204
2023-07-05 Kl. 03-04,0.75190,1.18706,0.43473,0.28041,0.75190
2023-07-05 Kl. 04-05,0.74769,0.98209,0.46256,0.28041,0.74769
2023-07-05 Kl. 05-06,0.74740,0.95528,0.50576,0.27878,0.74740
2023-07-05 Kl. 06-07,0.79451,1.07864,0.50851,0.28296,0.79451
2023-07-05 Kl. 07-08,0.81075,1.29288,0.61898,0.28319,0.81075
2023-07-05 Kl. 08-09,0.87134,1.26824,0.64201,0.28365,0.87134
2023-07-05 Kl. 09-10,0.90353,1.11589,0.64491,0.28354,0.90353
2023-07-05 Kl. 10-11,0.90048,1.10545,0.64463,0.28307,0.90048
2023-07-05 Kl. 11-12,0.71784,0.71784,0.63941,0.28389,0.71784
2023-07-05 Kl. 12-13,0.66434,0.66434,0.63695,0.28319,0.66434
2023-07-05 Kl. 13-14,0.65231,0.65231,0.64172,0.28296,0.65231
2023-07-05 Kl. 14-15,0.62535,0.62535,0.62535,0.28307,0.62535
2023-07-05 Kl. 15-16,0.60085,0.60085,0.60085,0.28284,0.60085
2023-07-05 Kl. 16-17,0.56853,0.56853,0.55490,0.28307,0.56853
2023-07-05 Kl. 17-18,0.69000,0.69000,0.52098,0.28319,0.69000
2023-07-05 Kl. 18-19,0.85424,1.00006,0.51403,0.28354,0.85424
2023-07-05 Kl. 19-20,0.94455,1.10835,0.50924,0.28400,0.94455
2023-07-05 Kl. 20-21,0.90599,1.16401,0.50794,0.28447,0.90599
2023-07-05 Kl. 21-22,0.81119,1.16386,0.50518,0.28435,0.81119
2023-07-05 Kl. 22-23,0.75305,1.16386,0.49561,0.28377,0.75305
2023-07-05 Kl. 23-00,0.74696,1.15488,0.47111,0.28215,0.74696
2023-07-06 Kl. 00-01,0.70085,1.11628,0.49438,0.28406,0.70085
2023-07-06 Kl. 01-02,0.65898,1.09896,0.48594,0.28430,0.65898
2023-07-06 Kl. 02-03,0.59746,1.07963,0.47911,0.28127,0.59746
2023-07-06 Kl. 03-04,0.53785,1.07949,0.46762,0.28046,0.53785
2023-07-06 Kl. 04-05,0.60139,1.07963,0.46719,0.28069,0.60139
2023-07-06 Kl. 05-06,0.68035,1.07789,0.47285,0.27720,0.68035
2023-07-06 Kl. 06-07,0.80176,1.08326,0.49481,0.28092,0.80176
2023-07-06 Kl. 07-08,0.90108,1.13139,0.51968,0.28383,0.90108
2023-07-06 Kl. 08-09,0.93466,1.14710,0.61638,0.28651,0.93466
2023-07-06 Kl. 09-10,0.92215,1.12426,0.62829,0.28662,0.92215
2023-07-06 Kl. 10-11,0.91154,1.11758,0.61666,0.28709,0.91154
2023-07-06 Kl. 11-12,0.87707,1.09344,0.62276,0.28755,0.87707
2023-07-06 Kl. 12-13,0.82211,1.05186,0.62116,0.28685,0.82211
2023-07-06 Kl. 13-14,0.82779,1.03994,0.61855,0.28662,0.82779
2023-07-06 Kl. 14-15,0.81180,1.06785,0.62960,0.28627,0.81180
2023-07-06 Kl. 15-16,0.79973,1.13415,0.62960,0.28616,0.79973
2023-07-06 Kl. 16-17,0.75465,1.23594,0.63019,0.28604,0.75465
2023-07-06 Kl. 17-18,0.89104,1.37423,0.62510,0.28569,0.89104
2023-07-06 Kl. 18-19,0.92958,1.33350,0.62116,0.28499,0.92958
2023-07-06 Kl. 19-20,0.93364,1.42569,0.61958,0.28476,0.93364
2023-07-06 Kl. 20-21,0.92623,1.44853,0.61215,0.28395,0.92623
2023-07-06 Kl. 21-22,0.89191,1.48269,0.58075,0.28360,0.89191
2023-07-06 Kl. 22-23,0.86719,1.48240,0.57420,0.28243,0.86719
2023-07-06 Kl. 23-00,0.79973,1.43558,0.56403,0.28057,0.79973
2023-07-07 Kl. 00-01,0.80196,1.39884,0.58248,0.29703,0.80196
2023-07-07 Kl. 01-02,0.78115,1.28226,0.55483,0.30006,0.78115
2023-07-07 Kl. 02-03,0.74083,1.26334,0.55264,0.29645,0.74083
2023-07-07 Kl. 03-04,0.72161,1.22885,0.55293,0.29621,0.72161
2023-07-07 Kl. 04-05,0.73355,1.21764,0.55395,0.29575,0.73355
2023-07-07 Kl. 05-06,0.78988,1.28110,0.58291,0.29354,0.78988
2023-07-07 Kl. 06-07,0.87371,1.33568,0.60023,0.29668,0.87371
2023-07-07 Kl. 07-08,0.94314,1.45444,0.60809,0.29785,0.94314
2023-07-07 Kl. 08-09,0.94910,1.50800,0.62366,0.30052,0.94910
2023-07-07 Kl. 09-10,0.95711,1.29449,0.62570,0.30204,0.95711
2023-07-07 Kl. 10-11,0.95449,1.18474,0.63327,0.30227,0.95449
2023-07-07 Kl. 11-12,0.95521,1.11474,0.63240,0.30157,0.95521
2023-07-07 Kl. 12-13,0.96046,1.06628,0.62439,0.30169,0.96046
2023-07-07 Kl. 13-14,0.94561,0.99990,0.62221,0.30122,0.94561
2023-07-07 Kl. 14-15,0.92305,0.97602,0.62323,0.29959,0.92305
2023-07-07 Kl. 15-16,0.93790,1.02159,0.60911,0.29971,0.93790
2023-07-07 Kl. 16-17,0.93514,1.10994,0.60881,0.29703,0.93514
2023-07-07 Kl. 17-18,0.93543,1.26421,0.60868,0.29633,0.93543
2023-07-07 Kl. 18-19,0.95799,1.33830,0.60096,0.29703,0.95799
2023-07-07 Kl. 19-20,0.95900,1.41820,0.60431,0.29726,0.95900
2023-07-07 Kl. 20-21,0.94241,1.41776,0.60416,0.29738,0.94241
2023-07-07 Kl. 21-22,0.92713,1.41864,0.60387,0.29691,0.92713
2023-07-07 Kl. 22-23,0.86614,1.41733,0.59674,0.29633,0.86614
2023-07-07 Kl. 23-00,0.80909,1.38836,0.58815,0.29424,0.80909
2023-07-08 Kl. 00-01,0.78720,1.31024,0.60431,0.30000,0.78720
2023-07-08 Kl. 01-02,0.75015,1.29135,0.59465,0.30106,0.75015
2023-07-08 Kl. 02-03,0.69949,1.24069,0.59084,0.30024,0.69949
2023-07-08 Kl. 03-04,0.68280,1.16968,0.58748,0.30000,0.68280
2023-07-08 Kl. 04-05,0.67415,1.08225,0.58674,0.29989,0.67415
2023-07-08 Kl. 05-06,0.63286,1.04945,0.59289,0.30000,0.63286
2023-07-08 Kl. 06-07,0.69583,1.11256,0.59025,0.30024,0.69583
2023-07-08 Kl. 07-08,0.78603,1.17070,0.60490,0.29989,0.78603
2023-07-08 Kl. 08-09,0.81165,1.14931,0.62159,0.30047,0.81165
2023-07-08 Kl. 09-10,0.80916,1.03613,0.64019,0.30059,0.80916
2023-07-08 Kl. 10-11,0.81619,0.95574,0.64898,0.30082,0.81619
2023-07-08 Kl. 11-12,0.74693,0.74693,0.65410,0.30059,0.74693
2023-07-08 Kl. 12-13,0.52260,0.67533,0.52260,0.30000,0.52260
2023-07-08 Kl. 13-14,0.32888,0.42758,0.32888,0.26310,0.42758
2023-07-08 Kl. 14-15,0.32844,0.73770,0.32844,0.26275,0.68060
2023-07-08 Kl. 15-16,0.63286,0.83143,0.60900,0.29836,0.63286
2023-07-08 Kl. 16-17,0.84460,0.98883,0.64458,0.29813,0.84460
2023-07-08 Kl. 17-18,0.84929,1.17128,0.64121,0.29883,0.84929
2023-07-08 Kl. 18-19,0.87858,1.24494,0.62876,0.29989,0.87858
2023-07-08 Kl. 19-20,0.88560,1.30555,0.62056,0.30024,0.88560
2023-07-08 Kl. 20-21,0.86070,1.35080,0.61910,0.29942,0.86070
2023-07-08 Kl. 21-22,0.83318,1.34905,0.62115,0.29930,0.83318
2023-07-08 Kl. 22-23,0.81444,1.34919,0.61954,0.30024,0.81444
2023-07-08 Kl. 23-00,0.80931,1.34714,0.61500,0.29989,0.80931
2023-07-09 Kl. 00-01,0.75648,1.45349,0.59919,0.29298,0.75648
2023-07-09 Kl. 01-02,0.75533,1.42513,0.58559,0.29426,0.75533
2023-07-09 Kl. 02-03,0.73883,1.42614,0.58183,0.29206,0.73883
