Tidspunkt,solar_consumption,Verdi,total_consum
2023-07-01,494.12097833943693,538.3,1032.420978339437
2023-07-02,461.35674476507114,365.2,826.5567447650711
2023-07-03,282.35565860033967,709.3,991.6556586003396
2023-07-04,205.8685432239435,782.8,988.6685432239435
2023-07-05,468.5321761849337,554.7,1023.2321761849337
2023-07-06,220.11501956148982,790.3,1010.4150195614898
2023-07-07,475.02085036993947,600.7,1075.7208503699394
2023-07-08,501.5648853743915,566.9,1068.4648853743915
2023-07-09,510.605349790305,319.6,830.205349790305
2023-07-10,119.05776640353736,904.9,1023.9577664035373
2023-07-11,191.64676375966516,803.1,994.7467637596652
2023-07-12,261.68863343726855,737.1,998.7886334372686
2023-07-13,378.4741077525542,641.4,1019.8741077525542
2023-07-14,476.3348249876872,549.8,1026.1348249876871
2023-07-15,84.11821980867538,912.0,996.1182198086753
2023-07-16,223.80542855337254,460.0,683.8054285533725
2023-07-17,403.2178818462417,673.3,1076.5178818462416
2023-07-18,445.22670734161505,574.6,1019.826707341615
2023-07-19,353.28651497757517,649.8,1003.0865149775751
2023-07-20,436.78818122530345,572.3,1009.0881812253034
2023-07-21,424.06876902934164,598.6,1022.6687690293417
2023-07-22,280.68021869263606,688.7,969.3802186926362
2023-07-23,313.43100399733515,397.8,711.2310039973352
2023-07-24,106.14142753579658,889.7,995.8414275357966
2023-07-25,361.13180337054655,651.1,1012.2318033705466
2023-07-26,247.76940399734286,711.8,959.5694039973428
2023-07-27,380.8567602187394,648.7,1029.5567602187393
2023-07-28,378.11096632643586,656.1,1034.210966326436
2023-07-29,387.5719211979304,654.3,1041.8719211979303
2023-07-30,437.78925954550505,351.8,789.589259545505
2023-07-31,311.875722653931,711.9,1023.775722653931
2023-08-01,326.9961015635636,673.5,1000.4961015635636
2023-08-02,366.27305656741373,645.6999999999999,1011.9730565674137
2023-08-03,315.1919771076646,700.7,1015.8919771076646
2023-08-04,254.25820381334051,760.4,1014.6582038133405
2023-08-05,418.4521842843387,603.7,1022.1521842843388
2023-08-06,234.5392950656825,451.6,686.1392950656825
2023-08-07,51.61595747806133,917.1999999999999,968.8159574780613
2023-08-08,122.98497464600949,845.3,968.2849746460095
2023-08-09,136.44695441168736,849.0,985.4469544116873
2023-08-10,297.51385909272364,677.9,975.4138590927237
2023-08-11,434.4959601266309,554.4,988.8959601266308
2023-08-12,292.9571176143362,750.0,1042.9571176143363
2023-08-13,236.12069091061127,496.3,732.4206909106113
2023-08-14,146.98545540892516,834.9,981.8854554089252
2023-08-15,99.82427383167659,922.1,1021.9242738316766
2023-08-16,383.43276535114273,635.9,1019.3327653511427
2023-08-17,272.48680654820066,802.0,1074.4868065482005
2023-08-18,294.91188204125507,728.4,1023.3118820412551
2023-08-19,43.72816842328757,959.9,1003.6281684232875
2023-08-20,182.06891423743215,527.9,709.9689142374322
2023-08-21,321.95601070579136,704.5,1026.4560107057914
2023-08-22,312.7845520114058,699.8,1012.5845520114058
2023-08-23,265.61406265711406,718.9,984.514062657114
2023-08-24,331.96469371719286,664.4,996.3646937171928
2023-08-25,83.09134957171054,891.9,974.9913495717105
2023-08-26,120.78338565584274,882.6,1003.3833856558427
2023-08-27,311.3764829612337,429.9,741.2764829612337
2023-08-28,310.2681681995747,684.4,994.6681681995747
2023-08-29,313.21450645034207,686.1,999.3145064503422
2023-08-30,246.91870234208176,726.3,973.2187023420818
